date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,previous_day_close,previous_day_high,previous_day_low,previous_day_open,previous_day_volume,day_of_week,numerical_sentiment,mean_sentiment_probability,percent_positive,percent_negative,percent_neutral
2026-01-28,668.73,677.6775,666.1,674.5,25709600,668.1709279828,677.110947689,665.5431267168,673.9361041443,25709600,0.0,1.0,672.97,676.815,664.66,674.59,13148719.0,3,0.1705426356589147,0.8010101489318434,0.3023255813953488,0.1317829457364341,0.5658914728682171
2026-01-29,738.31,744.0,712.55,737.43,59852903,737.6927576735,743.3780007166,711.9542935626,736.8134933716,59852903,0.0,1.0,668.73,677.6775,666.1,674.5,25709600.0,4,-0.027027027027027,0.8061342863617716,0.2094594594594594,0.2364864864864864,0.5540540540540541
2026-01-30,716.5,732.17,713.59,727.5,23744573,715.9009912815,731.5578908396,712.9934241013,726.8917950555,23744573,0.0,1.0,738.31,744.0,712.55,737.43,59852903.0,5,-0.109375,0.8377806060016155,0.15625,0.265625,0.578125
2026-02-02,706.41,721.3,703.5201,714.6,14365224,705.8194267288,720.6969783829,702.9319427445,714.0025797205,14365224,0.0,1.0,716.5,732.17,713.59,727.5,23744573.0,1,-0.0769230769230769,0.8140241627509778,0.1538461538461538,0.2307692307692307,0.6153846153846154
2026-02-03,691.7,717.0,686.41,707.37,13512258,691.1217245909,716.4005732712,685.8361471396,706.7786241491,13512258,0.0,1.0,706.41,721.3,703.5201,714.6,14365224.0,2,-0.0961538461538461,0.7981896996498108,0.0769230769230769,0.173076923076923,0.75
2026-02-04,668.99,688.83,667.46,687.73,16882761,668.4307106175,688.2541239699,666.9019897289,687.1550435925,16882761,0.0,1.0,691.7,717.0,686.41,707.37,13512258.0,3,-0.0461538461538461,0.8076378230865185,0.1538461538461538,0.2,0.6461538461538462
2026-02-05,670.21,681.5,653.5,663.58,17131791,669.6496906724,680.9302520005,652.9536605757,663.0252334886,17131791,0.0,1.0,668.99,688.83,667.46,687.73,16882761.0,4,0.173076923076923,0.8182599149071254,0.3269230769230769,0.1538461538461538,0.5192307692307693
2026-02-06,661.46,671.9899,646.5001,665.49,18159253,660.9070058521,671.4281026394,645.9596126359,664.9336366894,18159253,0.0,1.0,670.21,681.5,653.5,663.58,17131791.0,5,-0.1388888888888889,0.8183096539643075,0.1527777777777778,0.2916666666666667,0.5555555555555556
2026-02-09,677.22,683.3099,658.78,663.18,14837529,676.6538301684,682.7386388869,658.2292463872,662.6255678968,14837529,0.0,1.0,661.46,671.9899,646.5001,665.49,18159253.0,1,-0.0263157894736842,0.8104328422954208,0.1842105263157894,0.2105263157894736,0.6052631578947368
2026-02-10,670.72,680.65,669.79,677.6,10455816,670.1592643019,680.0809626179,669.230041801,677.0335124806,10455816,0.0,1.0,677.22,683.3099,658.78,663.18,14837529.0,2,0.0,0.8070339574929206,0.1935483870967742,0.1935483870967742,0.6129032258064516
2026-02-11,668.69,679.2675,657.1,674.0,14323818,668.1309614236,678.6996184163,656.5506509017,673.4365221545,14323818,0.0,1.0,670.72,680.65,669.79,677.6,10455816.0,3,0.0307692307692307,0.8260186685965611,0.1846153846153846,0.1538461538461538,0.6615384615384615
2026-02-12,649.81,676.0,645.28,669.97,14960108,649.2667454915,675.4348501135,644.7405326645,669.4098913173,14960108,0.0,1.0,668.69,679.2675,657.1,674.0,14323818.0,4,0.054054054054054,0.8206616591762852,0.2162162162162162,0.1621621621621621,0.6216216216216216
2026-02-13,639.77,651.4299,634.57,645.1,12336363,639.2351391377,650.8852912218,634.0394864445,644.5606831482,12336363,0.0,1.0,649.81,676.0,645.28,669.97,14960108.0,5,-0.0208333333333333,0.8140955877800783,0.1666666666666666,0.1875,0.6458333333333334
2026-02-17,639.29,642.6,628.8,639.495,12674739,638.7555404276,642.0627731996,628.2743102831,638.9603690434,12674739,0.0,1.0,639.77,651.4299,634.57,645.1,12336363.0,2,0.0481927710843373,0.7879584205437855,0.253012048192771,0.2048192771084337,0.5421686746987951
2026-02-18,643.22,645.0,628.145,633.8,14649196,642.6822548668,644.4607667503,627.6198578765,633.2701301803,14649196,0.0,1.0,639.29,642.6,628.8,639.495,12674739.0,3,0.0103092783505154,0.7972334942866847,0.2164948453608247,0.2061855670103092,0.5773195876288659
2026-02-19,644.78,647.19,636.72,638.57,10035698,644.2409506748,646.6489358653,636.1876890004,638.0361423624,10035698,0.0,1.0,643.22,645.0,628.145,633.8,14649196.0,4,0.0909090909090909,0.8008330563704172,0.2424242424242424,0.1515151515151515,0.6060606060606061
2026-02-20,655.66,663.3499,638.78,639.685,14183512,655.1118547713,662.7953258569,638.245966798,639.1502101995,14183512,0.0,1.0,644.78,647.19,636.72,638.57,10035698.0,5,-0.0392156862745098,0.8551337987768883,0.1764705882352941,0.2156862745098039,0.6078431372549019
2026-02-23,637.25,657.7,636.0,652.54,8605909,636.7172459095,657.1501492894,635.4682909351,651.9944631554,8605909,0.0,1.0,655.66,663.3499,638.78,639.685,14183512.0,1,0.2083333333333333,0.7951346623400847,0.2916666666666667,0.0833333333333333,0.625
