date,numerical_sentiment,mean_sentiment_probability,positive_count,negative_count,neutral_count,total_articles
2026-01-28,0.1732283464566929,0.8028713077541412,39,17,71,127
2026-01-29,-0.027027027027027,0.8061342863617716,31,35,82,148
2026-01-30,-0.109375,0.8377806060016155,10,17,37,64
2026-01-31,0.1176470588235294,0.8322653454892776,5,1,28,34
2026-02-01,0.0,0.8379221122998458,6,6,14,26
2026-02-02,-0.0769230769230769,0.8140241627509778,10,15,40,65
2026-02-03,-0.0961538461538461,0.7981896996498108,4,9,39,52
2026-02-04,-0.0461538461538461,0.8076378230865185,10,13,42,65
2026-02-05,0.173076923076923,0.8182599149071254,17,8,27,52
2026-02-06,-0.1388888888888889,0.8183096539643075,11,21,40,72
2026-02-07,0.0,0.8324393604112708,2,2,19,23
2026-02-08,-0.2222222222222222,0.8335267934534285,2,6,10,18
2026-02-09,-0.0263157894736842,0.8104328422954208,14,16,46,76
2026-02-10,0.0,0.8070339574929206,12,12,38,62
2026-02-11,0.0307692307692307,0.8260186685965611,12,10,43,65
2026-02-12,0.054054054054054,0.8206616591762852,16,12,46,74
2026-02-13,-0.0208333333333333,0.8140955877800783,8,9,31,48
2026-02-14,-0.1052631578947368,0.7755058439154374,3,5,11,19
2026-02-15,-0.2352941176470588,0.8226792777285856,1,5,11,17
2026-02-16,0.1794871794871795,0.7870564827552209,10,3,26,39
2026-02-17,0.0481927710843373,0.7879584205437855,21,17,45,83
2026-02-18,0.0103092783505154,0.7972334942866847,21,20,56,97
2026-02-19,0.0909090909090909,0.8008330563704172,16,10,40,66
2026-02-20,-0.0392156862745098,0.8551337987768883,9,11,31,51
2026-02-21,-0.1,0.786966422200203,2,4,14,20
2026-02-22,0.12,0.8409007692337036,7,4,14,25
2026-02-23,0.2083333333333333,0.7951346623400847,14,4,30,48
2026-02-24,0.1565217391304348,0.8058060324710349,30,12,73,115
2026-02-25,0.0,0.7784212231636047,1,1,2,4
2026-02-26,-0.1358024691358024,0.7991645435492197,12,23,46,81
2026-02-27,-0.0483870967741935,0.807244265752454,12,15,35,62
