id,published_date,title,source,tags,crawl_date,tickers,day_of_week
95735857,2026-05-18,"Meta Moves 7,000 Workers Into AI Roles Ahead of Job Cuts",bloomberg.com,"('Consumer Cyclical', 'Stock', 'Technology', 'Tiingo Top')",2026-05-18,"('googl', 'meta', 'nyt')",1
95735042,2026-05-18,Google I/O primer: Alphabet's AI showcase is its chance to wow Wall Street,cnbc.com,"('Breaking News: Investing', 'Breaking News: Markets', 'Business', 'Computing', 'Consumer Cyclical', 'ETF', 'Energy', 'Fintech', 'Internet', 'Investment Strategy', 'Markets', 'Stock', 'Technology', 'Tiingo Top', 'Unknown Sector', 'Wireless')",2026-05-18,"('aapl', 'afrm', 'amzn', 'bkng', 'cart', 'dash', 'expe', 'goog', 'googl', 'klar', 'meta', 'meta', 'metv', 'msft', 'nvda', 'orcl', 'skyy', 'wcld', 'xlk')",1
95734004,2026-05-18,This Nvidia-Backed Artificial Intelligence (AI) Infrastructure Company Is Solving a Key Problem. It Could Easily Become a Multibagger Stock in the Next 3 Years,fool.com,"('B2Fab553-6F54-4F7B-91A0-88812439399D', 'Crwv', 'ETF', 'Financial Services', 'Gs', 'Investing', 'Meta', 'Nvda', 'Stock', 'Technology', 'Technology And Telecom', 'Unknown Sector', '^Ixic')",2026-05-18,"('crwv', 'gs', 'meta', 'meta', 'metv', 'nvda')",1
95732470,2026-05-18,Meta employees told to work remotely Wednesday as company prepares to slash 10% of workforce: report,nypost.com,"('ETF', 'Facebook', 'Instagram', 'Layoffs', 'Mark Zuckerberg', 'Meta', 'Stock', 'Technology')",2026-05-18,"('meta', 'meta', 'metv')",1
95732655,2026-05-18,Meta Platforms Inc. (META): Mark Cuban Outlines His View on AI Race Winners,finance.yahoo.com,"('Cuba', 'Inc.', 'Mark Cuban', 'Meta Platforms', 'Stock', 'Technology')",2026-05-18,"('meta',)",1
95733393,2026-05-18,Buy the Dip in Nvidia Stock off of Record Highs as Q1 Earnings Approach?,zacks.com,"('Consumer Cyclical', 'ETF', 'Investment Ideas', 'Stock', 'Technology', 'Unknown Sector')",2026-05-18,"('amzn', 'cbrs', 'googl', 'meta', 'meta', 'metv', 'msft', 'nvda')",1
95731509,2026-05-18,The end of card-funded ad spend: Why Meta and Google want businesses off credit cards,aol.com,"('Advertisers', 'Bank Account', 'Brian Waldman', 'Card Payments', 'Credit Card', 'ETF', 'Financial Services', 'Google', 'Meta', 'Stock', 'Technology')",2026-05-18,"('goog', 'googl', 'ma', 'meta', 'meta', 'metv')",1
95731017,2026-05-18,Meta Platforms (META) Launching Incognito Chat for WhatsApp AI Assistant,insidermonkey.com,"('Stock', 'Technology')",2026-05-18,"('meta',)",1
95731010,2026-05-18,Kentucky Republican Thomas Massie is Trump revenge tour's next target,cnbc.com,"('Breaking News: Politics', 'ETF', 'Elections', 'Politics', 'Stock', 'Technology')",2026-05-18,"('meta', 'meta', 'metv')",1
95730547,2026-05-18,Meta Platforms Is Down 11% in a Month While Alphabet Is Up 16%. What’s Going On?,finance.yahoo.com,"('Alphabet', 'Google Cloud', 'Industrials', 'Meta Platforms', 'Stock', 'Technology', 'Unknown Sector', 'Utilities')",2026-05-18,"('dal', 'deltw', 'dgas', 'goog', 'googl', 'meta', 'nvda')",1
95730347,2026-05-18,"Exclusive-Meta lays out plans for May 20 layoffs, restructuring, internal document says",finance.yahoo.com,"('ETF', 'Meta', 'Notifications', 'Stock', 'Technology')",2026-05-18,"('meta', 'meta', 'metv')",1
