date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,previous_day_close,previous_day_high,previous_day_low,previous_day_open,previous_day_volume,1_day_max,1_day_min,3_day_max,3_day_min,5_day_max,5_day_min,day_of_week
2026-01-26,672.36,675.28,661.2855,665.125,16327378,671.7978932282,674.7154520483,660.7326517377,664.5689418369,16327378,0.0,1.0,658.76,666.4899,644.445,644.77,22797723.0,675.28,661.2855,675.28,661.2855,675.28,644.445,1
2026-01-27,672.97,676.815,664.66,674.59,13148719,672.4073832557,676.2491687567,664.1043305864,674.0260289024,13148719,0.0,1.0,672.36,675.28,661.2855,665.125,16327378.0,676.815,664.66,676.815,661.2855,676.815,644.445,2
2026-01-28,668.73,677.6775,666.1,674.5,25709600,668.1709279828,677.110947689,665.5431267168,673.9361041443,25709600,0.0,1.0,672.97,676.815,664.66,674.59,13148719.0,677.6775,666.1,677.6775,661.2855,677.6775,661.2855,3
2026-01-29,738.31,744.0,712.55,737.43,59852903,737.6927576735,743.3780007166,711.9542935626,736.8134933716,59852903,0.0,1.0,668.73,677.6775,666.1,674.5,25709600.0,744.0,712.55,744.0,664.66,744.0,661.2855,4
2026-01-30,716.5,732.17,713.59,727.5,23744573,715.9009912815,731.5578908396,712.9934241013,726.8917950555,23744573,0.0,1.0,738.31,744.0,712.55,737.43,59852903.0,732.17,713.59,744.0,666.1,744.0,661.2855,5
2026-02-02,706.41,721.3,703.5201,714.6,14365224,705.8194267288,720.6969783829,702.9319427445,714.0025797205,14365224,0.0,1.0,716.5,732.17,713.59,727.5,23744573.0,721.3,703.5201,721.3,703.5201,744.0,703.5201,1
2026-02-03,691.7,717.0,686.41,707.37,13512258,691.1217245909,716.4005732712,685.8361471396,706.7786241491,13512258,0.0,1.0,706.41,721.3,703.5201,714.6,14365224.0,717.0,686.41,721.3,686.41,732.17,686.41,2
2026-02-04,668.99,688.83,667.46,687.73,16882761,668.4307106175,688.2541239699,666.9019897289,687.1550435925,16882761,0.0,1.0,691.7,717.0,686.41,707.37,13512258.0,688.83,667.46,721.3,667.46,721.3,667.46,3
2026-02-05,670.21,681.5,653.5,663.58,17131791,669.6496906724,680.9302520005,652.9536605757,663.0252334886,17131791,0.0,1.0,668.99,688.83,667.46,687.73,16882761.0,681.5,653.5,717.0,653.5,721.3,653.5,4
2026-02-06,661.46,671.9899,646.5001,665.49,18159253,660.9070058521,671.4281026394,645.9596126359,664.9336366894,18159253,0.0,1.0,670.21,681.5,653.5,663.58,17131791.0,671.9899,646.5001,688.83,646.5001,721.3,646.5001,5
2026-02-09,677.22,683.3099,658.78,663.18,14837529,676.6538301684,682.7386388869,658.2292463872,662.6255678968,14837529,0.0,1.0,661.46,671.9899,646.5001,665.49,18159253.0,683.3099,658.78,683.3099,658.78,683.3099,646.5001,1
2026-02-10,670.72,680.65,669.79,677.6,10455816,670.1592643019,680.0809626179,669.230041801,677.0335124806,10455816,0.0,1.0,677.22,683.3099,658.78,663.18,14837529.0,680.65,669.79,683.3099,658.78,683.3099,646.5001,2
2026-02-11,668.69,679.2675,657.1,674.0,14323818,668.1309614236,678.6996184163,656.5506509017,673.4365221545,14323818,0.0,1.0,670.72,680.65,669.79,677.6,10455816.0,679.2675,657.1,683.3099,657.1,683.3099,657.1,3
2026-02-12,649.81,676.0,645.28,669.97,14960108,649.2667454915,675.4348501135,644.7405326645,669.4098913173,14960108,0.0,1.0,668.69,679.2675,657.1,674.0,14323818.0,676.0,645.28,680.65,645.28,683.3099,645.28,4
2026-02-13,639.77,651.4299,634.57,645.1,12336363,639.2351391377,650.8852912218,634.0394864445,644.5606831482,12336363,0.0,1.0,649.81,676.0,645.28,669.97,14960108.0,651.4299,634.57,679.2675,634.57,683.3099,634.57,5
2026-02-17,639.29,642.6,628.8,639.495,12674739,638.7555404276,642.0627731996,628.2743102831,638.9603690434,12674739,0.0,1.0,639.77,651.4299,634.57,645.1,12336363.0,642.6,628.8,642.6,628.8,651.4299,628.8,2
2026-02-18,643.22,645.0,628.145,633.8,14649196,642.6822548668,644.4607667503,627.6198578765,633.2701301803,14649196,0.0,1.0,639.29,642.6,628.8,639.495,12674739.0,645.0,628.145,645.0,628.145,645.0,628.145,3
2026-02-19,644.78,647.19,636.72,638.57,10035698,644.2409506748,646.6489358653,636.1876890004,638.0361423624,10035698,0.0,1.0,643.22,645.0,628.145,633.8,14649196.0,647.19,636.72,647.19,628.145,647.19,628.145,4
2026-02-20,655.66,663.3499,638.78,639.685,14183512,655.1118547713,662.7953258569,638.245966798,639.1502101995,14183512,0.0,1.0,644.78,647.19,636.72,638.57,10035698.0,663.3499,638.78,663.3499,628.145,663.3499,628.145,5
2026-02-23,637.25,657.7,636.0,652.54,8605909,636.7172459095,657.1501492894,635.4682909351,651.9944631554,8605909,0.0,1.0,655.66,663.3499,638.78,639.685,14183512.0,657.7,636.0,657.7,636.0,663.3499,636.0,1
2026-02-24,639.3,641.11,628.98,633.08,10135647,638.7655320674,640.5740188702,628.4541597994,632.5507321151,10135647,0.0,1.0,637.25,657.7,636.0,652.54,8605909.0,641.11,628.98,657.7,628.98,663.3499,628.98,2
